A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 24, B : e6, C: d6, D : c0 ,E: 05, F : e1, G : ae 
A : 4d, B : 48, C: 32, D : e8 ,E: 6f, F : 1a, G : dc 
A : 0c, B : f4, C: f3, D : ae ,E: 51, F : 0c, G : f9 
A : 31, B : 13, C: e0, D : b2 ,E: 0e, F : a8, G : 84 
A : 47, B : 36, C: 16, D : ee ,E: 64, F : 42, G : f5 
A : 61, B : 5a, C: 2c, D : 06 ,E: 1b, F : 19, G : 06 
A : 5e, B : 57, C: 2e, D : 28 ,E: 19, F : a8, G : 88 
A : 21, B : 19, C: b2, D : 8e ,E: 63, F : fc, G : 92 
A : 3e, B : d7, C: d6, D : c2 ,E: 3e, F : b8, G : 8d 
A : 63, B : 60, C: 27, D : f0 ,E: 43, F : 36, G : 28 
A : e5, B : d0, C: cf, D : ac ,E: 03, F : f7, G : 87 
A : 16, B : f2, C: dc, D : d2 ,E: fe, F : 93, G : 91 
A : 4e, B : 43, C: 25, D : aa ,E: fa, F : eb, G : c8 
A : 10, B : e6, C: dd, D : ac ,E: 69, F : 62, G : ad 
A : ec, B : e8, C: ca, D : ba ,E: 03, F : ff, G : bb 
A : fe, B : fa, C: f4, D : f2 ,E: d0, F : c0, G : af 
A : e6, B : db, C: d6, D : c0 ,E: 05, F : e1, G : 85 
A : 55, B : 28, C: 11, D : f2 ,E: 2e, F : 1a, G : dc 
A : 36, B : 0c, C: f3, D : ae ,E: 22, F : 0c, G : f9 
A : 4a, B : 31, C: 2d, D : 12 ,E: a8, F : 97, G : 84 
A : 36, B : 16, C: da, D : b6 ,E: 64, F : 42, G : ae 
A : 2c, B : 1f, C: 1c, D : 00 ,E: 1b, F : e6, G : a7 
A : 6a, B : 57, C: 29, D : e6 ,E: 7e, F : a8, G : 88 
A : 21, B : cb, C: b2, D : a2 ,E: fc, F : b3, G : 92 
A : 3e, B : e4, C: d7, D : d6 ,E: b9, F : b8, G : 8d 
A : 42, B : 3b, C: 23, D : f0 ,E: 58, F : 43, G : 28 
A : da, B : d0, C: cf, D : a4 ,E: 03, F : f7, G : 9f 
A : 18, B : dc, C: d3, D : d2 ,E: fe, F : a9, G : 93 
A : 4e, B : 43, C: 25, D : 08 ,E: eb, F : e3, G : c8 
A : 68, B : 2d, C: e6, D : dc ,E: 69, F : b3, G : ad 
A : e8, B : ca, C: ba, D : 90 ,E: 03, F : ff, G : df 
A : fe, B : f4, C: f2, D : c4 ,E: 39, F : d0, G : af 
A : e6, B : db, C: d6, D : d0 ,E: 6e, F : e1, G : 85 
A : 11, B : 02, C: f2, D : e8 ,E: 2e, F : dc, G : d4 
A : 3b, B : 36, C: f5, D : f2 ,E: 58, F : 22, G : f9 
A : 52, B : 2d, C: 13, D : f8 ,E: 34, F : 97, G : 84 
A : 47, B : 16, C: da, D : c6 ,E: 64, F : bd, G : ae 
A : 25, B : 1f, C: 1c, D : 00 ,E: 63, F : e6, G : a7 
A : 6a, B : f8, C: e7, D : e2 ,E: 7e, F : b2, G : a8 
A : 21, B : cb, C: b2, D : a2 ,E: 4a, F : fc, G : b3 
A : 64, B : 51, C: e4, D : d6 ,E: 6c, F : b9, G : b8 
A : 3b, B : 2a, C: 23, D : f0 ,E: 58, F : 43, G : 15 
A : da, B : cf, C: bd, D : a4 ,E: f7, F : d8, G : 9f 
A : 2e, B : 18, C: d3, D : b4 ,E: 6d, F : fe, G : a9 
A : 25, B : 08, C: ee, D : aa ,E: e3, F : e0, G : c8 
A : 63, B : 28, C: dd, D : b6 ,E: bc, F : b3, G : ad 
A : 23, B : 15, C: ca, D : 90 ,E: ff, F : f9, G : df 
A : fe, B : f4, C: f3, D : c4 ,E: 39, F : d0, G : a3 
A : 0d, B : db, C: d0, D : ae ,E: 6e, F : ce, G : 85 
A : 2c, B : 11, C: 02, D : c2 ,E: 2e, F : d4, G : 9b 
A : 36, B : 34, C: f5, D : b8 ,E: 58, F : 40, G : 22 
A : 52, B : 2d, C: 2d, D : f8 ,E: 34, F : be, G : 97 
A : da, B : c7, C: b2, D : 9c ,E: 45, F : bd, G : ae 
A : 25, B : 1f, C: 1c, D : e2 ,E: 63, F : 4e, G : a7 
A : 10, B : f8, C: e3, D : 8a ,E: 7e, F : d9, G : b2 
A : 6b, B : fa, C: cb, D : a2 ,E: 4a, F : 0d, G : b3 
A : 64, B : 51, C: 4a, D : e4 ,E: 6c, F : 58, G : b9 
A : 00, B : 00, C: 00, D : c4 ,E: 58, F : 55, G : 14 
A : 3c, B : da, C: ca, D : bc ,E: 38, F : d8, G : 9f 
A : 28, B : 18, C: d3, D : b4 ,E: 6d, F : ce, G : a9 
A : 19, B : 08, C: ee, D : ba ,E: e3, F : e0, G : d2 
A : 28, B : b6, C: af, D : 9a ,E: 36, F : fc, G : b3 
A : 27, B : 23, C: 15, D : 9e ,E: 5d, F : f9, G : df 
A : 54, B : 3b, C: f3, D : c4 ,E: 39, F : a3, G : 95 
A : 18, B : d0, C: c2, D : ae ,E: 6e, F : ce, G : b7 
A : 02, B : c2, C: ba, D : a0 ,E: 72, F : d4, G : 9b 
A : 3e, B : 34, C: f5, D : b8 ,E: 58, F : 46, G : 40 
A : 2d, B : f8, C: f2, D : c8 ,E: 48, F : 34, G : be 
A : d4, B : cc, C: c7, D : b2 ,E: 54, F : 45, G : bd 
A : 78, B : 77, C: 25, D : 22 ,E: 63, F : 4e, G : ce 
A : 23, B : 10, C: f8, D : 8a ,E: 22, F : d9, G : b2 
A : 6b, B : 29, C: fa, D : f6 ,E: 5f, F : 4a, G : 0d 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 08, B : 07, C: 05, D : 02 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 1c, F : 11, G : 05 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 1b, B : 0a, C: e3, D : c2 ,E: 65, F : e3, G : d7 
A : 36, B : 2c, C: 20, D : 08 ,E: 00, F : 00, G : 00 
A : 7c, B : 4c, C: 34, D : 32 ,E: 7c, F : f1, G : e5 
A : 75, B : f2, C: d1, D : c6 ,E: 25, F : e9, G : e6 
A : e9, B : cb, C: a4, D : 9c ,E: 4d, F : fe, G : 8c 
A : 64, B : 62, C: ee, D : d2 ,E: 54, F : b8, G : 9d 
A : 5e, B : 0e, C: bb, D : a8 ,E: 15, F : 8c, G : 87 
A : c7, B : c0, C: 89, D : 88 ,E: 4f, F : 3e, G : cf 
A : 61, B : 0c, C: 05, D : ae ,E: 20, F : c2, G : b2 
A : 4d, B : 28, C: 1a, D : 10 ,E: 4d, F : 30, G : b2 
A : 2a, B : 0c, C: f4, D : ae ,E: 46, F : 08, G : 96 
A : 2e, B : 22, C: 0e, D : e0 ,E: 4f, F : 45, G : a4 
A : 42, B : 24, C: f5, D : b6 ,E: 7f, F : 79, G : 0e 
A : 6d, B : 1b, C: 19, D : 0e ,E: 32, F : 2b, G : 2a 
A : 44, B : 29, C: 19, D : a8 ,E: 28, F : f8, G : ae 
A : 3c, B : 2a, C: d3, D : 92 ,E: 6a, F : 57, G : fb 
A : 1b, B : e3, C: d7, D : c2 ,E: 65, F : f7, G : e3 
A : 36, B : 2c, C: 28, D : 08 ,E: 28, F : b7, G : 9a 
A : 4c, B : 34, C: 03, D : d0 ,E: 76, F : f1, G : e5 
A : 75, B : f2, C: d2, D : 92 ,E: 25, F : 17, G : e9 
A : fa, B : eb, C: cb, D : 9c ,E: fe, F : fc, G : 8c 
A : 69, B : 62, C: d2, D : ac ,E: 1c, F : b8, G : 9d 
A : 5e, B : 0e, C: 03, D : e8 ,E: 34, F : 15, G : 8c 
A : c0, B : af, C: 89, D : 88 ,E: 56, F : 4f, G : cf 
A : 05, B : e6, C: e1, D : ae ,E: 75, F : c2, G : b2 
A : 4d, B : 28, C: 1a, D : f2 ,E: 4d, F : b2, G : 91 
A : 3b, B : 0c, C: f9, D : f4 ,E: 46, F : e7, G : 96 
A : 13, B : 0e, C: e0, D : a8 ,E: 45, F : bb, G : a4 
A : 5b, B : 42, C: 16, D : f4 ,E: 7f, F : 0e, G : 0d 
A : 1b, B : 19, C: 06, D : 00 ,E: 2b, F : 8f, G : 8a 
A : 5e, B : 29, C: 19, D : a8 ,E: 28, F : ae, G : ac 
A : 3c, B : 21, C: fc, D : 92 ,E: 78, F : 6a, G : 57 
A : d7, B : d6, C: c2, D : b8 ,E: 2b, F : f7, G : e3 
A : 43, B : 36, C: 28, D : 22 ,E: 28, F : b7, G : ab 
A : 03, B : f7, C: d0, D : ce ,E: 76, F : e5, G : ab 
A : f2, B : d2, C: a5, D : 92 ,E: 52, F : 17, G : e9 
A : fa, B : eb, C: c8, D : aa ,E: fc, F : a4, G : 8c 
A : 69, B : 62, C: ad, D : ac ,E: 1c, F : b8, G : b4 
A : 03, B : ff, C: e8, D : ba ,E: 34, F : 25, G : 8c 
A : f4, B : d0, C: c0, D : ae ,E: 5c, F : 56, G : 4f 
A : e6, B : e1, C: db, D : a0 ,E: 75, F : 30, G : b2 
A : 28, B : 1a, C: 11, D : f2 ,E: 00, F : 00, G : 00 
A : 36, B : 22, C: 0c, D : f8 ,E: e7, F : a7, G : 96 
A : 2d, B : 13, C: a8, D : 96 ,E: 45, F : bb, G : 99 
A : 42, B : 16, C: da, D : b6 ,E: 78, F : 0e, G : 0d 
A : 1c, B : 1b, C: 01, D : e6 ,E: 42, F : 8f, G : 8a 
A : 6a, B : 29, C: e3, D : a8 ,E: 67, F : ae, G : ac 
A : 21, B : fc, C: cb, D : b2 ,E: 78, F : 6a, G : 69 
A : d7, B : d6, C: b9, D : b8 ,E: 2b, F : f7, G : c7 
A : 43, B : 42, C: 28, D : 22 ,E: 28, F : 0e, G : ab 
A : f7, B : d0, C: cf, D : 9e ,E: 76, F : ab, G : ab 
A : fe, B : d2, C: a9, D : a4 ,E: 52, F : 45, G : 17 
A : 4e, B : eb, C: e3, D : c8 ,E: 21, F : fc, G : a4 
A : 69, B : 28, C: b3, D : ac ,E: 1c, F : b4, G : 9e 
A : ff, B : e8, C: df, D : 90 ,E: 34, F : 25, G : d8 
A : 39, B : f4, C: d0, D : c4 ,E: 5c, F : 56, G : 05 
A : e6, B : e1, C: db, D : 88 ,E: 75, F : 35, G : 30 
A : 11, B : f2, C: dc, D : d4 ,E: 65, F : c1, G : 91 
A : 54, B : 3b, C: 36, D : 22 ,E: 13, F : e7, G : a7 
A : 2d, B : 13, C: f8, D : 96 ,E: d3, F : bb, G : 99 
A : 16, B : da, C: c7, D : bc ,E: 78, F : 0d, G : cf 
A : 63, B : 1c, C: 01, D : e6 ,E: 42, F : b9, G : 8f 
A : 6a, B : e3, C: b2, D : a8 ,E: 67, F : 23, G : ac 
A : 4a, B : 21, C: fc, D : ca ,E: 78, F : 69, G : 84 
A : 6b, B : e4, C: d6, D : b8 ,E: 5f, F : 2b, G : c7 
A : 43, B : 42, C: 2a, D : 22 ,E: 59, F : 4e, G : 0b 
A : d8, B : cf, C: bd, D : 9e ,E: ea, F : ab, G : ab 
A : 18, B : fe, C: b5, D : a8 ,E: 52, F : 45, G : 0c 
A : ee, B : e3, C: e0, D : c8 ,E: 6e, F : 21, G : a4 
A : 63, B : 28, C: bc, D : b2 ,E: 2d, F : b4, G : 9e 
A : ff, B : f9, C: df, D : 90 ,E: 25, F : 13, G : d8 
A : 39, B : f4, C: d0, D : c4 ,E: 5c, F : 10, G : 05 
A : db, B : ce, C: af, D : 88 ,E: 35, F : 30, G : b1 
A : 2c, B : 11, C: d4, D : c2 ,E: 65, F : 1c, G : c1 
A : 54, B : 40, C: 36, D : 34 ,E: 2a, F : 13, G : a7 
A : 2d, B : 2d, C: f8, D : be ,E: d3, F : b3, G : 99 
A : da, B : c7, C: bd, D : b2 ,E: 78, F : 6d, G : cf 
A : 63, B : 4e, C: 1c, D : e2 ,E: 42, F : 2c, G : b9 
A : 10, B : e3, C: d9, D : b2 ,E: 67, F : 23, G : 97 
A : 4a, B : 0d, C: fa, D : ca ,E: 69, F : 65, G : 84 
A : 6b, B : 58, C: 4a, D : e4 ,E: 5f, F : e4, G : c7 
A : 55, B : 42, C: 2a, D : 14 ,E: 59, F : 4e, G : 1c 
A : d8, B : ca, C: bd, D : 9e ,E: ea, F : b2, G : ab 
A : 28, B : 18, C: ce, D : b4 ,E: 4a, F : 45, G : 0c 
A : 19, B : ee, C: e3, D : e0 ,E: 6e, F : 21, G : c2 
A : 36, B : 28, C: fc, D : b2 ,E: 48, F : 2d, G : 9e 
A : 40, B : 15, C: f9, D : de ,E: 13, F : d8, G : b8 
A : 3b, B : 39, C: c5, D : a2 ,E: 10, F : 05, G : da 
A : 18, B : ce, C: b7, D : ae ,E: 35, F : f1, G : b1 
A : 2c, B : d4, C: c2, D : 9a ,E: 78, F : 65, G : 1c 
A : 54, B : 46, C: 40, D : 34 ,E: 5f, F : 2a, G : 13 
A : 34, B : 2d, C: f8, D : c8 ,E: d3, F : b7, G : b3 
A : 45, B : cc, C: c7, D : bc ,E: 6d, F : cf, G : 83 
A : 63, B : 4e, C: 37, D : e2 ,E: 2c, F : d3, G : b9 
A : 22, B : 10, C: d9, D : b2 ,E: 36, F : 23, G : 97 
A : 5f, B : 4a, C: 29, D : 0c ,E: 65, F : 26, G : 84 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 3e, B : 0a, C: e3, D : e2 ,E: 5f, F : b4, G : b3 
A : 2c, B : 00, C: 00, D : 00 ,E: 27, F : 13, G : 9d 
A : 34, B : 33, C: f1, D : e4 ,E: 4c, F : 39, G : a3 
A : 25, B : e9, C: e6, D : d0 ,E: e6, F : cc, G : 8f 
A : fe, B : fa, C: e9, D : ca ,E: 35, F : bd, G : b2 
A : 62, B : 54, C: ee, D : b8 ,E: 60, F : 60, G : 24 
A : 15, B : bb, C: a8, D : 8c ,E: d4, F : c9, G : a7 
A : 4c, B : 3e, C: cf, D : c0 ,E: 53, F : 45, G : 09 
A : 20, B : 05, C: c2, D : b2 ,E: 21, F : ec, G : e6 
A : 4d, B : 30, C: 1a, D : ea ,E: d3, F : c5, G : be 
A : 46, B : 0c, C: 08, D : ae ,E: ec, F : ca, G : ba 
A : 45, B : 22, C: 0e, D : a8 ,E: 2e, F : 23, G : ba 
A : 79, B : 42, C: 0e, D : f4 ,E: 48, F : fc, G : db 
A : 2b, B : 2a, C: 1b, D : 18 ,E: 7e, F : 71, G : 12 
A : 28, B : 19, C: f8, D : ae ,E: 54, F : 2e, G : 17 
A : 63, B : 57, C: fb, D : d2 ,E: 6f, F : 64, G : a2 
A : 3e, B : f7, C: e3, D : e2 ,E: 5f, F : 13, G : b3 
A : 2c, B : 28, C: 28, D : b6 ,E: 27, F : e9, G : 9d 
A : 34, B : 03, C: f1, D : e4 ,E: 4c, F : ea, G : a3 
A : 25, B : 17, C: e9, D : 92 ,E: 0f, F : e6, G : 8f 
A : fc, B : fa, C: eb, D : ca ,E: 35, F : f0, G : bd 
A : 69, B : 62, C: 1c, D : b8 ,E: 60, F : 60, G : 29 
A : 34, B : 15, C: 03, D : ba ,E: c9, F : af, G : a7 
A : 4f, B : cf, C: c0, D : ae ,E: 53, F : 1c, G : 09 
A : 05, B : e1, C: c2, D : b2 ,E: 48, F : 21, G : e6 
A : 4d, B : 1a, C: dc, D : b2 ,E: d3, F : c5, G : c5 
A : 46, B : 0c, C: f9, D : e6 ,E: 59, F : ca, G : ba 
A : 0e, B : bb, C: a8, D : a4 ,E: 6a, F : 2e, G : 23 
A : 64, B : 42, C: 0e, D : 0c ,E: fc, F : db, G : 8d 
A : 1b, B : 19, C: e6, D : 8e ,E: 7e, F : f2, G : b6 
A : 19, B : ae, C: ac, D : a8 ,E: 54, F : 2e, G : 29 
A : 6a, B : 63, C: 57, D : fc ,E: 6f, F : 64, G : 1b 
A : 2b, B : f7, C: e3, D : b8 ,E: 1a, F : 13, G : b3 
A : 36, B : 28, C: 28, D : b6 ,E: 18, F : e9, G : 9d 
A : 03, B : f7, C: e5, D : aa ,E: ea, F : a3, G : 93 
A : 17, B : fe, C: e9, D : 92 ,E: 3d, F : 0f, G : e6 
A : fa, B : eb, C: c8, D : a4 ,E: f0, F : d9, G : bd 
A : 62, B : 1c, C: b8, D : b4 ,E: 53, F : 40, G : 29 
A : 25, B : 03, C: ff, D : ba ,E: 69, F : af, G : a7 
A : 56, B : 4f, C: d0, D : c0 ,E: 1c, F : 09, G : a4 
A : 30, B : 05, C: e1, D : b2 ,E: 48, F : 30, G : 21 
A : 1a, B : 00, C: 00, D : 00 ,E: 3f, F : c5, G : c5 
A : 0c, B : f9, C: e7, D : a6 ,E: 59, F : ca, G : 90 
A : bb, B : a8, C: 99, D : 96 ,E: 6a, F : 23, G : 04 
A : 64, B : 42, C: 0e, D : 0c ,E: db, F : 91, G : 8d 
A : 1b, B : e6, C: a7, D : 8e ,E: 7e, F : 6a, G : b6 
A : 67, B : ae, C: ac, D : a8 ,E: 54, F : 29, G : 0e 
A : 6a, B : 69, C: fc, D : b2 ,E: 6f, F : 1b, G : d1 
A : f7, B : c7, C: b9, D : b8 ,E: 37, F : 1a, G : 13 
A : 43, B : 28, C: 28, D : 0e ,E: 2c, F : 18, G : e9 
A : 03, B : f7, C: ab, D : aa ,E: ea, F : e2, G : 93 
A : 45, B : 17, C: fe, D : a8 ,E: 3d, F : 0f, G : d6 
A : fc, B : eb, C: e3, D : c8 ,E: fd, F : f0, G : d9 
A : 1c, B : b4, C: b3, D : ac ,E: 53, F : f7, G : c9 
A : 25, B : 03, C: ff, D : de ,E: 69, F : 18, G : af 
A : 56, B : 39, C: 05, D : d0 ,E: 34, F : 1c, G : a4 
A : 6e, B : 35, C: 30, D : e0 ,E: 48, F : 30, G : 21 
A : 2e, B : dc, C: d4, D : c0 ,E: 51, F : 3f, G : c5 
A : 22, B : 13, C: f9, D : e6 ,E: 76, F : 59, G : 90 
A : d3, B : bb, C: 99, D : 96 ,E: 6a, F : 04, G : 89 
A : 64, B : 0d, C: cf, D : bc ,E: 7f, F : 91, G : 8d 
A : 42, B : e6, C: b9, D : a6 ,E: 6a, F : 19, G : b6 
A : 67, B : 23, C: b2, D : ac ,E: 29, F : 0e, G : c9 
A : 69, B : 4a, C: fc, D : b2 ,E: 1b, F : d1, G : b4 
A : 5f, B : 2b, C: c7, D : b8 ,E: 39, F : 37, G : 1a 
A : 58, B : 4e, C: 43, D : 14 ,E: 2c, F : 18, G : 02 
A : ea, B : d8, C: ab, D : aa ,E: e9, F : e2, G : 93 
A : 52, B : 45, C: 0c, D : fe ,E: 3d, F : 33, G : d6 
A : 21, B : e3, C: e0, D : c8 ,E: fd, F : d9, G : af 
A : fc, B : b4, C: b3, D : ac ,E: 53, F : f7, G : 9a 
A : 13, B : ff, C: f9, D : de ,E: 69, F : 18, G : bc 
A : 39, B : 10, C: 05, D : d0 ,E: 3c, F : 34, G : a4 
A : 35, B : 30, C: ce, D : b0 ,E: 6b, F : 30, G : 21 
A : 2e, B : 1c, C: d4, D : c0 ,E: 51, F : 3f, G : 2b 
A : 40, B : 2a, C: 22, D : 12 ,E: 76, F : 07, G : 90 
A : d3, B : be, C: b3, D : 98 ,E: 23, F : 04, G : 89 
A : 6d, B : 45, C: cf, D : bc ,E: 7f, F : d4, G : 91 
A : 4e, B : 42, C: 2c, D : b8 ,E: 74, F : 6a, G : 19 
A : 67, B : 23, C: d9, D : b2 ,E: 74, F : 0e, G : c9 
A : 65, B : 4a, C: 0d, D : b2 ,E: 38, F : d1, G : b4 
A : 5f, B : 58, C: e4, D : c6 ,E: 6f, F : 39, G : 37 
A : 58, B : 4e, C: 1c, D : 14 ,E: 2c, F : 22, G : 1b 
A : ea, B : d8, C: b2, D : aa ,E: 2f, F : e9, G : e2 
A : 4a, B : 45, C: 0c, D : ce ,E: 33, F : d6, G : cf 
A : 21, B : e3, C: e0, D : d2 ,E: fd, F : af, G : a3 
A : 36, B : 2d, C: fc, D : b2 ,E: b7, F : b2, G : 9a 
A : 13, B : f9, C: df, D : d8 ,E: 18, F : bc, G : 98 
A : 10, B : 05, C: da, D : a2 ,E: 3c, F : 34, G : 10 
A : 35, B : f1, C: ce, D : b6 ,E: 6b, F : 21, G : 8a 
A : 72, B : 65, C: 1c, D : d4 ,E: 51, F : 4b, G : 22 
A : 58, B : 46, C: 40, D : 2a ,E: 76, F : 07, G : d7 
A : 34, B : d3, C: be, D : b6 ,E: 23, F : d2, G : 89 
A : 54, B : 45, C: cf, D : bc ,E: 7f, F : 2f, G : d4 
A : 4e, B : 2c, C: d3, D : ce ,E: 74, F : 19, G : df 
A : 23, B : 22, C: d9, D : b2 ,E: 74, F : c9, G : 87 
A : 5f, B : 4a, C: 26, D : 0c ,E: 38, F : 2d, G : b4 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 14, F : 09, G : 07 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 5f, B : e3, C: d7, D : b4 ,E: 38, F : 9b, G : 88 
A : 13, B : d1, C: b7, D : 9c ,E: 6d, F : 37, G : 29 
A : 4c, B : 39, C: f1, D : e4 ,E: 68, F : 66, G : ce 
A : e9, B : e6, C: e6, D : cc ,E: 36, F : f6, G : df 
A : 35, B : fe, C: bd, D : b2 ,E: 66, F : 46, G : 0c 
A : 60, B : 54, C: 24, D : b8 ,E: 36, F : 22, G : e9 
A : d4, B : c9, C: a7, D : 8c ,E: 36, F : 29, G : 02 
A : 4f, B : 45, C: 3e, D : 08 ,E: 6f, F : e0, G : 88 
A : 20, B : ec, C: e6, D : c2 ,E: 17, F : b9, G : b7 
A : 30, B : d3, C: c5, D : be ,E: 7e, F : f7, G : e1 
A : 08, B : ec, C: ca, D : ba ,E: 16, F : fd, G : d7 
A : 45, B : 2e, C: 23, D : ba ,E: 17, F : b5, G : b4 
A : 79, B : 48, C: 0e, D : fc ,E: 48, F : de, G : ab 
A : 71, B : 32, C: 2b, D : 12 ,E: 65, F : 1a, G : c3 
A : 2e, B : 28, C: 17, D : f8 ,E: 6b, F : 1c, G : 11 
A : 6a, B : 64, C: 57, D : fa ,E: e3, F : a8, G : 90 
A : 5f, B : 13, C: f7, D : e2 ,E: 45, F : 9b, G : 88 
A : 27, B : e9, C: b7, D : 9c ,E: 37, F : 31, G : 29 
A : 4c, B : f1, C: ea, D : e4 ,E: 66, F : ce, G : b9 
A : 17, B : 0f, C: e9, D : e6 ,E: 02, F : f6, G : df 
A : fe, B : fc, C: f0, D : bc ,E: 66, F : 46, G : 14 
A : 60, B : 29, C: 1c, D : b8 ,E: 36, F : 22, G : 99 
A : 15, B : c9, C: af, D : a6 ,E: 36, F : 2a, G : 02 
